player_last_name,player_first_name,Team,Pos.,Completions,Targets,Comp %,TDs,Season,Week
Murray, DeMarco,TEN,RB,3,5,60.00,2,2016,1
Benjamin, Travis,SD,WR,2,4,50.00,0,2016,1
Marshall, Brandon,NYJ,WR,1,4,25.00,0,2016,1
Fitzgerald, Larry,ARI,WR,3,3,100.00,2,2016,1
Cooks, Brandin,NO,WR,3,3,100.00,1,2016,1
Green, A.J.,CIN,WR,3,3,100.00,0,2016,1
Nelson, Jordy,GB,WR,3,3,100.00,1,2016,1
Baldwin, Doug,SEA,WR,2,3,66.67,1,2016,1
Witten, Jason,DAL,TE,2,3,66.67,0,2016,1
Fuller, Will,HOU,WR,2,3,66.67,1,2016,1
Cadet, Travaris,NO,RB,1,3,33.33,1,2016,1
Matthews, Jordan,PHI,WR,1,3,33.33,1,2016,1
Crowder, Jamison,WAS,WR,1,3,33.33,0,2016,1
Cobb, Randall,GB,WR,1,3,33.33,0,2016,1
Olsen, Greg,CAR,TE,2,2,100.00,0,2016,1
Rogers, Eli,PIT,WR,2,2,100.00,1,2016,1
Moncrief, Donte,IND,WR,2,2,100.00,1,2016,1
Sanu, Mohamed,ATL,WR,2,2,100.00,1,2016,1
Doyle, Jack,IND,TE,2,2,100.00,2,2016,1
Hilton, T.Y.,IND,WR,2,2,100.00,0,2016,1
Riddick, Theo,DET,RB,2,2,100.00,1,2016,1
Freeman, Devonta,ATL,RB,2,2,100.00,0,2016,1
Cruz, Victor,NYG,WR,2,2,100.00,1,2016,1
Decker, Eric,NYJ,WR,1,2,50.00,1,2016,1
Roberts, Seth,OAK,WR,1,2,50.00,1,2016,1
Richard, Jalen,OAK,RB,1,2,50.00,0,2016,1
Woodhead, Danny,SD,RB,1,2,50.00,1,2016,1
Beasley, Cole,DAL,WR,1,2,50.00,0,2016,1
James, Jesse,PIT,TE,1,2,50.00,0,2016,1
Dorsett, Phillip,IND,WR,1,2,50.00,0,2016,1
Sproles, Darren,PHI,RB,0,2,0.00,0,2016,1
Hawkins, Andrew,CLE,WR,0,2,0.00,0,2016,1
Beckham, Odell,NYG,WR,0,2,0.00,0,2016,1
Hopkins, DeAndre,HOU,WR,0,2,0.00,0,2016,1
Miller, Braxton,HOU,WR,0,2,0.00,0,2016,1
